fname,lname,DOB,age,instaID,instaURL,email,contactNo,password,Followers,likes,views,engagementRate,city,state,accepted
Varun,Dhawan,11-2-01,22,varundvn,https://www.instagram.com/varundvn/,sonny_kozey53@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"39,900,000.00","353,250.00","431,200.00",1.77,Banglore,Karnataka,1
Sara,Khan,2-4-97,25,saraalikhan95,https://www.instagram.com/saraalikhan95/,shayna.swift20@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"39,300,000.00","349,950.00","426,000.00",1.78,Delhi,Delhi,1
Jannat,Rahmani,13-6-01,21,jannatzubair29,https://www.instagram.com/jannatzubair29/,katlyn_rice@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"40,000,000.00","341,400.00","416,800.00",1.71,Delhi,Delhi,1
Deepika,Padukone,11-2-01,22,deepikapadukone,https://www.instagram.com/deepikapadukone/,myriam_bednar8@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"64,200,000.00","197,250.00","258,150.00",0.61,Delhi,Delhi,1
Allu,Arjun,7-8-99,23,alluarjunonline,https://www.instagram.com/alluarjunonline/,josie_rippin@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"16,400,000.00","800,000.00","1,000,000.00",9.76,Delhi,Delhi,1
Hrithik,Roshan,11-2-01,22,hrithikroshan,https://www.instagram.com/hrithikroshan/,clementina20@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"41,300,000.00","300,900.00","380,800.00",1.46,Delhi,Delhi,1
Rohit,Sharma,11-2-01,22,rohitsharma45,https://www.instagram.com/rohitsharma45/,kathryne43@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"22,500,000.00","550,000.00","650,000.00",4.89,Delhi,Delhi,1
KARTIK,AARYAN,2-4-97,25,kartikaaryan,https://www.instagram.com/kartikaaryan/,eudora45@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"23,400,000.00","430,300.00","550,000.00",3.68,Delhi,Delhi,1
Kriti,Sanon,13-6-01,21,kritisanon,https://www.instagram.com/kritisanon/,arnold81@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"45,900,000.00","228,800.00","267,150.00",1.00,Lucknow,Uttarpradesh,1
Shahid,Kapoor,11-2-01,22,shahidkapoor,https://www.instagram.com/shahidkapoor/,ebba_white83@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"33,100,000.00","322,100.00","365,600.00",1.95,Lucknow,Uttarpradesh,1
Disha,Patani,7-8-99,23,dishapatani,https://www.instagram.com/dishapatani/,sadye_rodriguez8@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"48,500,000.00","201,400.00","247,950.00",0.83,Lucknow,Uttarpradesh,1
Vijay,Deverakonda,11-2-01,22,thedeverakonda,https://www.instagram.com/thedeverakonda/,vladimir_bruen43@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,600,000.00","650,000.00","800,000.00",8.90,Lucknow,Uttarpradesh,1
Ajey,Nagar,11-2-01,22,carryminati,https://www.instagram.com/carryminati/,kianna_muller36@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,500,000.00","650,000.00","750,000.00",8.97,Surat,Gujrat,1
Johnny,Depp,2-4-97,25,johnnydepp,https://www.instagram.com/johnnydepp/,lee.dietrich18@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,700,000.00","700,000.00","900,000.00",11.97,Surat,Gujrat,1
Kiara,Advani,13-6-01,21,kiaraaliaadvani,https://www.instagram.com/kiaraaliaadvani/,ervin34@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"21,700,000.00","419,350.00","476,150.00",3.86,Surat,Gujrat,1
Jacqueline,Fernandez,11-2-01,22,jacquelinef143,https://www.instagram.com/jacquelinef143/,tyree_bosco0@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"57,900,000.00","140,500.00","170,700.00",0.49,Surat,Gujrat,1
Hardik,Pandya,7-8-99,23,hardikpandya93,https://www.instagram.com/hardikpandya93/,mathilde.olson@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"20,200,000.00","385,850.00","483,800.00",3.82,Surat,Gujrat,1
Sunny,Leone,11-2-01,22,sunnyleone,https://www.instagram.com/sunnyleone/,tremayne35@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"50,500,000.00","127,300.00","172,350.00",0.50,Surat,Gujrat,1
Bhuvan,Bam,11-2-01,22,bhuvan.bam22,https://www.instagram.com/bhuvan.bam22/,russell56@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,100,000.00","490,850.00","600,000.00",6.96,Kolkatta,West Bengal,1
Anushka,Sen,2-4-97,25,anushkasen0408,https://www.instagram.com/anushkasen0408/,cullen.feest36@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"32,200,000.00","227,050.00","265,550.00",1.41,Kolkatta,West Bengal,1
Rohit,Zinjurke,13-6-01,21,rohittt_09_,https://www.instagram.com/rohittt_09_/,maxie23@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"19,600,000.00","301,650.00","426,150.00",3.08,Kolkatta,West Bengal,1
Ashish,Chanchlani,11-2-01,22,ashishchanchlani,https://www.instagram.com/ashishchanchlani/,monserrate.rath@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"12,500,000.00","550,000.00","650,000.00",8.80,Kolkatta,West Bengal,1
Pooja,Hegde,7-8-99,23,hegdepooja,https://www.instagram.com/hegdepooja/,kian.becker87@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"17,400,000.00","397,900.00","458,700.00",4.57,Kolkatta,West Bengal,1
Vicky,Kaushal,11-2-01,22,vickykaushal09,https://www.instagram.com/vickykaushal09/,roscoe.cruickshank@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"12,800,000.00","500,000.00","600,000.00",7.81,Kolkatta,West Bengal,1
Tiger,Shroff,11-2-01,22,tigerjackieshroff,https://www.instagram.com/tigerjackieshroff/,nico_huel@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"33,400,000.00","187,100.00","228,150.00",1.12,Kolkatta,West Bengal,1
Avneet,Kaur,2-4-97,25,avneetkaur_13,https://www.instagram.com/avneetkaur_13/,lia_vandervort@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"28,800,000.00","215,050.00","262,500.00",1.49,Kolkatta,West Bengal,1
Emilia,Clarke,13-6-01,21,emilia_clarke,https://www.instagram.com/emilia_clarke/,orlando37@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"27,100,000.00","213,600.00","269,350.00",1.58,Kolkatta,West Bengal,1
Shehnaaz,Gill,11-2-01,22,shehnaazgill,https://www.instagram.com/shehnaazgill/,marta.sauer@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,100,000.00","550,000.00","700,000.00",9.91,Udaipur,Rajasthan,1
Sidharth,Malhotra,7-8-99,23,sidmalhotra,https://www.instagram.com/sidmalhotra/,elroy.price@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"18,200,000.00","318,000.00","396,000.00",3.49,Udaipur,Rajasthan,1
Janhvi,Kapoor,11-2-01,22,janhvikapoor,https://www.instagram.com/janhvikapoor/,erwin_goyette35@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"15,400,000.00","388,800.00","463,850.00",5.05,Udaipur,Rajasthan,1
marshmello,marshmello,11-2-01,22,marshmellomusic,https://www.instagram.com/marshmellomusic/,melba27@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"29,300,000.00","195,650.00","230,900.00",1.34,Udaipur,Rajasthan,1
Urvashi,Rautela,2-4-97,25,urvashirautela,https://www.instagram.com/urvashirautela/,tanya.larkin@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"45,500,000.00","125,750.00","148,200.00",0.55,Udaipur,Rajasthan,1
Kajal,Aggarwal,13-6-01,21,kajalaggarwalofficial,https://www.instagram.com/kajalaggarwalofficial/,wanda.flatley28@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"20,800,000.00","263,100.00","317,900.00",2.53,Udaipur,Rajasthan,1
Sachin,Tendulkar,11-2-01,22,sachintendulkar,https://www.instagram.com/sachintendulkar/,albertha37@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"32,900,000.00","166,400.00","199,050.00",1.01,Udaipur,Rajasthan,1
Marvel,Studios,7-8-99,23,marvelstudios,https://www.instagram.com/marvelstudios/,javier_schmidt81@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"35,500,000.00","157,000.00","175,450.00",0.88,Udaipur,Rajasthan,1
Kapil,Sharma,11-2-01,22,kapilsharma,https://www.instagram.com/kapilsharma/,marcelle.morissette33@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"38,500,000.00","137,000.00","156,150.00",0.71,Udaipur,Rajasthan,1
Riyaz,Aly,11-2-01,22,riyaz.14,https://www.instagram.com/riyaz.14/,zion22@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"24,900,000.00","158,400.00","206,400.00",1.27,Udaipur,Rajasthan,1
KL,Rahul,2-4-97,25,rahulkl,https://www.instagram.com/rahulkl/,ava.davis51@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,600,000.00","353,750.00","412,500.00",6.10,Patna,Bihar,1
Awez,Darbar,13-6-01,21,awez_darbar,https://www.instagram.com/awez_darbar/,margarita28@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"15,400,000.00","257,750.00","309,700.00",3.35,Patna,Bihar,1
Amitabh,Bachchan,11-2-01,22,amitabhbachchan,https://www.instagram.com/amitabhbachchan/,karley24@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"29,800,000.00","138,250.00","159,350.00",0.93,Patna,Bihar,1
alexandra,daddario,7-8-99,23,alexandradaddario,https://www.instagram.com/alexandradaddario/,jazmyne18@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"21,500,000.00","172,500.00","210,550.00",1.60,Patna,Bihar,1
Lamborghini,,11-2-01,22,lamborghini,https://www.instagram.com/lamborghini/,jaime69@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"31,500,000.00","104,000.00","143,450.00",0.66,Patna,Bihar,1
Parineeti,Chopra,11-2-01,22,parineetichopra,https://www.instagram.com/parineetichopra/,jevon.mante74@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"34,700,000.00","112,950.00","129,800.00",0.65,Patna,Bihar,1
Lea,Elui,2-4-97,25,leaelui,https://www.instagram.com/leaelui/,keagan72@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,800,000.00","216,050.00","362,700.00",3.66,Patna,Bihar,1
Faisal,Shaikh,13-6-01,21,mr_faisu_07,https://www.instagram.com/mr_faisu_07/,wilfred_schultz@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"26,100,000.00","125,600.00","160,100.00",0.96,Patna,Bihar,1
Anupama,Parameswaran,11-2-01,22,anupamaparameswaran96,https://www.instagram.com/anupamaparameswaran96/,gladys2@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"10,900,000.00","318,900.00","364,700.00",5.85,Jaipur,Rajasthan,1
Dulquer,Salmaan,7-8-99,23,dqsalmaan,https://www.instagram.com/dqsalmaan/,sylvia_robel69@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"9,900,000.00","293,350.00","397,150.00",5.93,Jaipur,Rajasthan,1
SayyedArishfa,Khan,11-2-01,22,arishfakhan138,https://www.instagram.com/arishfakhan138/,camden51@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"26,900,000.00","113,950.00","138,950.00",0.85,Jaipur,Rajasthan,1
Juventus,Juventus,11-2-01,22,juventus,https://www.instagram.com/juventus/,stephon89@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"52,300,000.00","48,550.00","69,350.00",0.19,Jaipur,Rajasthan,1
Ranveer,Singh,2-4-97,25,ranveersingh,https://www.instagram.com/ranveersingh/,maryse.quitzon2@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"38,400,000.00","72,350.00","93,350.00",0.38,Jaipur,Rajasthan,1
Sonu,Sood,13-6-01,21,sonu_sood,https://www.instagram.com/sonu_sood/,trycia.bechtelar@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,100,000.00","219,400.00","250,900.00",3.11,Jaipur,Rajasthan,1
Ileana,D'Cruz,11-2-01,22,ileana_official,https://www.instagram.com/ileana_official/,charlie_leffler35@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"13,900,000.00","208,100.00","252,850.00",2.99,Jaipur,Rajasthan,1
Keerthy,Suresh,7-8-99,23,keerthysureshofficial,https://www.instagram.com/keerthysureshofficial/,alvena35@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,600,000.00","258,350.00","295,600.00",4.45,Jaipur,Rajasthan,1
Guru,Randhawa,11-2-01,22,gururandhawa,https://www.instagram.com/gururandhawa/,jayme.ankunding@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"30,700,000.00","89,250.00","109,950.00",0.58,Jaipur,Rajasthan,1
Hina,Khan,11-2-01,22,realhinakhan,https://www.instagram.com/realhinakhan/,wallace.kuhic@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"16,200,000.00","165,550.00","203,450.00",2.04,Kochi,Kerla,1
Ananya,Panday,2-4-97,25,ananyapanday,https://www.instagram.com/ananyapanday/,alford_hoppe53@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"21,200,000.00","132,800.00","155,300.00",1.25,Kochi,Kerla,1
Yash,Yash,13-6-01,21,thenameisyash,https://www.instagram.com/thenameisyash/,maiya_abshire@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"5,700,000.00","494,800.00","600,000.00",17.36,Kochi,Kerla,1
Rakul,Singh,11-2-01,22,rakulpreet,https://www.instagram.com/rakulpreet/,murl.paucek@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"18,400,000.00","147,700.00","173,600.00",1.61,Kochi,Kerla,1
Darshan,Raval,7-8-99,23,darshanravaldz,https://www.instagram.com/darshanravaldz/,curt_miller96@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,500,000.00","179,250.00","216,650.00",2.47,Kochi,Kerla,1
Ratan,Tata,11-2-01,22,ratantata,https://www.instagram.com/ratantata/,peggie_rohan@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"5,600,000.00","458,250.00","550,000.00",16.37,Kochi,Kerla,1
Madhuri,Dixit,11-2-01,22,madhuridixitnene,https://www.instagram.com/madhuridixitnene/,broderick34@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"29,500,000.00","87,050.00","101,200.00",0.59,Kochi,Kerla,1
Shreya,Ghoshal,2-4-97,25,shreyaghoshal,https://www.instagram.com/shreyaghoshal/,yasmine_schinner72@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"23,400,000.00","108,450.00","120,550.00",0.93,Kochi,Kerla,1
Angel,Rai,13-6-01,21,angelrai07,https://www.instagram.com/angelrai07/,jammie_ferry92@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"11,000,000.00","211,600.00","255,050.00",3.85,Kochi,Kerla,1
Paul,Walker,11-2-01,22,paulwalker,https://www.instagram.com/paulwalker/,dayna_wolf@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"14,400,000.00","133,000.00","182,000.00",1.85,Kochi,Kerla,1
Austin,McBroom,7-8-99,23,austinmcbroom,https://www.instagram.com/austinmcbroom/,alia13@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"6,500,000.00","290,200.00","408,600.00",8.93,Kochi,Kerla,1
Wiz,Khalifa,11-2-01,22,wizkhalifa,https://www.instagram.com/wizkhalifa/,taurean_lueilwitz44@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"35,100,000.00","51,550.00","72,700.00",0.29,Chennai,Tamilnadu,1
